title;genre;duration;storyline
Rebecca ; Drama;130 min;"
                    A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
            "
Dead Poets Society ; Comedy;128 min;"
                    English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.
            "
Hotel Rwanda ; Biography;121 min;"
                    Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.
            "
White Heat ; Action;114 min;"
                    A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
            "
Spotlight ; Biography;129 min;"
                    The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese; shaking the entire Catholic Church to its core.
            "
The 400 Blows ; Crime;99 min;"
                    A young boy; left without attention; delves into a life of petty crime.
            "
Amores Perros ; Drama;154 min;"
                    A horrific car accident connects three stories; each involving characters dealing with loss; regret; and life's harsh realities; all in the name of love.
            "
Nausicaä of the Valley of the Wind ; Animation;117 min;"
                    Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
            "
Andrei Rublev ; See all certifications;165 min;"
                    The life; times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.
            "
Ben-Hur ; Adventure;212 min;"
                    When a Jewish prince is betrayed and sent into slavery by a Roman friend; he regains his freedom and comes back for revenge.
            "
Barry Lyndon ; Adventure;185 min;"
                    An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
            "
Hachi: A Dog's Tale ; Drama;93 min;"
                    A college professor bonds with an abandoned dog he takes into his home.
            "
Harry Potter and the Deathly Hallows: Part 2 ; Adventure;130 min;"
                    Harry (Daniel Radcliffe); Ron (Rupert Grint); and Hermione (Emma Watson) search for Voldemort's (Ralph Fiennes') remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.
            "
Rang De Basanti ; Comedy;167 min;"
                    The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past; and the events that lead them to relive the long-forgotten saga of freedom.
            "
Logan ; Action;137 min;"
                    In a future where mutants are nearly extinct; an elderly and weary Logan leads a quiet life. But when Laura; a mutant child pursued by scientists; comes to him for help; he must get her to safety.
            "
The Passion of Joan of Arc ; Biography;110 min;"
                    In 1431; Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.
            "
The Red Shoes ; Drama;135 min;"
                    A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.
            "
Rush ; Biography;123 min;"
                    The merciless 1970s rivalry between Formula One rivals "
Million Dollar Baby ; Drama;132 min;"
                    A determined woman works with a hardened boxing trainer to become a professional.
            "
Monty Python's Life of Brian ; Comedy;94 min;"
                    Born on the original Christmas in the stable next door to Jesus; Brian of Nazareth spends his life being mistaken for a messiah.
            "
Platoon ; Drama;120 min;"
                    A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.
            "
Stand by Me ; Adventure;89 min;"
                    After the death of one of his friends; a writer recounts a boyhood journey with his friends to find the body of a missing boy.
            "
Mad Max: Fury Road ; Action;120 min;"
                    In a post-apocalyptic wasteland; a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners; a psychotic worshiper; and a drifter named Max.
            "
Network ; Drama;121 min;"
                    A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
            "
The Wages of Fear ; Adventure;131 min;"
                    In a decrepit South American village; four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.
            "
Prisoners ; Crime;153 min;"
                    When Keller Dover's daughter and her friend go missing; he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.
            "
12 Years a Slave ; Biography;134 min;"
                    In the antebellum United States; "
Into the Wild ; Adventure;148 min;"
                    After graduating from Emory University; top student and athlete Christopher McCandless abandons his possessions; gives his entire $24;000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way; Christopher encounters a series of characters that shape his life.
            "
Persona ; Drama;85 min;"
                    A nurse is put in charge of a mute actress and finds that their personae are melding together.
            "
Before Sunrise ; Drama;101 min;"
                    A young man and woman meet on a train in Europe; and wind up spending one evening together in Vienna. Unfortunately; both know that this will probably be their only night together.
            "
Cool Hand Luke ; Crime;127 min;"
                    A laid back Southern man is sentenced to two years in a rural prison; but refuses to conform.
            "
Catch Me If You Can ; Biography;141 min;"
                    A seasoned FBI agent pursues Frank Abagnale Jr. who; before his 19th birthday; successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot; a doctor; and a legal prosecutor.
            "
Mr. Smith Goes to Washington ; Comedy;129 min;"
                    A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption; but he doesn't back down.
            "
Memories of Murder ; Action;131 min;"
                    In a small Korean province in 1986; three detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.
            "
Sherlock Jr. ; Action;45 min;"
                    A film projectionist longs to be a detective; and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.
            "
The General ; Action;67 min;"
                    When Union spies steal an engineer's beloved locomotive; he pursues it single-handedly and straight through enemy lines.
            "
How to Train Your Dragon ; Animation;98 min;"
                    A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself; and learns there may be more to the creatures than he assumed.
            "
Hacksaw Ridge ; Biography;139 min;"
                    World War II American Army Medic "
Gone Girl ; Drama;149 min;"
                    With his wife's disappearance having become the focus of an intense media circus; a man sees the spotlight turned on him when it's suspected that he may not be innocent.
            "
The Grand Budapest Hotel ;MPAA;99 min;"
                    The adventures of Gustave H; a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars; and Zero Moustafa; the lobby boy who becomes his most trusted friend.
            "
Mary and Max ; Animation;92 min;"
                    A tale of friendship between two unlikely pen pals: Mary; a lonely; eight-year-old girl living in the suburbs of Melbourne; and Max; a forty-four-year old; severely obese man living in New York.
            "
In the Name of the Father ; Biography;133 min;"
                    A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
            "
The Truman Show ; Comedy;103 min;"
                    An insurance salesman discovers his whole life is actually a reality TV show.
            "
Wild Tales ; Comedy;122 min;"
                    Six short stories that explore the extremities of human behavior involving people in distress.
            "
Stalker ; See all certifications;162 min;"
                    A guide leads two men through an area known as the Zone to find a room that grants wishes.
            "
Kill Bill: Vol. 1 ; Action;111 min;"
                    After awakening from a four-year coma; a former assassin wreaks vengeance on the team of assassins who betrayed her.
            "
Ford v Ferrari ; Action;152 min;"
                    American car designer Carroll Shelby and driver Ken Miles battle corporate interference; the laws of physics and their own personal demons to build a revolutionary race car for Ford and challenge Ferrari at the 24 Hours of Le Mans in 1966.
            "
Tokyo Story ; Drama;136 min;"
                    An old couple visit their children and grandchildren in the city; but the children have little time for them.
            "
The Big Lebowski ; Comedy;117 min;"
                    Jeff ""The Dude"" Lebowski; mistaken for a millionaire of the same name; seeks restitution for his ruined rug and enlists his bowling buddies to help get it.
            "
The Deer Hunter ; Drama;183 min;"
                    An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.
            "
Fargo ; Crime;98 min;"
                    Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
            "
The Bandit ; See all certifications;128 min;"
                    Baran the Bandit; released from prison after 35 years searches for vengeance and his lover.
            "
Gran Torino ;MPAA;116 min;"
                    Disgruntled Korean War veteran Walt Kowalski (Clint Eastwood) sets out to reform his neighbor; Thao Lor (Bee Vang); a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.
            "
Wild Strawberries ; Drama;91 min;"
                    After living a life marked by coldness; an aging professor is forced to confront the emptiness of his existence.
            "
Jurassic Park ; Action;127 min;"
                    A pragmatic Paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
            "
Finding Nemo ; Animation;100 min;"
                    After his son is captured in the Great Barrier Reef and taken to Sydney; a timid clownfish sets out on a journey to bring him home.
            "
On the Waterfront ; Crime;108 min;"
                    An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.
            "
The Third Man ; Film-Noir;104 min;"
                    Pulp novelist Holly Martins travels to shadowy; postwar Vienna; only to find himself investigating the mysterious death of an old friend; Harry Lime.
            "
Blade Runner ; Action;117 min;"
                    A blade runner must pursue and terminate four replicants who stole a ship in space; and have returned to Earth to find their creator.
            "
Andhadhun ; See all certifications;139 min;"
                    A series of mysterious events changes the life of a blind pianist; who must now report a crime that he should technically know nothing of.
            "
The Bridge on the River Kwai ; Adventure;161 min;"
                    British POWs build a railway bridge across the river Kwai for their Japanese captors; oblivious of the Allies' plans to destroy it.
            "
Gone with the Wind ; Drama;238 min;"
                    A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.
            "
Shutter Island ; Mystery;138 min;"
                    In 1954; a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.
            "
The Thing ; Horror;109 min;"
                    A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
            "
The Sixth Sense ; Drama;107 min;"
                    A boy who communicates with spirits seeks the help of a disheartened child psychologist.
            "
Room ; Drama;118 min;"
                    Held captive for 7 years in an enclosed space; a woman and her young son finally gain their freedom; allowing the boy to experience the outside world for the first time.
            "
Trainspotting ; Drama;93 min;"
                    Renton; deeply immersed in the Edinburgh drug scene; tries to clean up and get out; despite the allure of the drugs and influence of friends.
            "
The Elephant Man ; Biography;124 min;"
                    A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade; there is revealed a person of kindness; intelligence and sophistication.
            "
No Country for Old Men ; Crime;122 min;"
                    Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
            "
Warrior ; Drama;140 min;"
                    The youngest son of an alcoholic former boxer returns home; where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged; older brother.
            "
Drishyam ; Crime;;"
                    A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.
            "
The Seventh Seal ; Drama;96 min;"
                    A man seeks answers about life; death; and the existence of God as he plays chess against the Grim Reaper during the Black Plague.
            "
V for Vendetta ; Action;132 min;"
                    In a future British tyranny; a shadowy freedom fighter; known only by the alias of ""V""; plots to overthrow it with the help of a young woman.
            "
There Will Be Blood ; Drama;158 min;"
                    A story of family; religion; hatred; oil and madness; focusing on a turn-of-the-century prospector in the early days of the business.
            "
Dial M for Murder ; Crime;105 min;"
                    A tennis player frames his unfaithful wife for first-degree murder after she inadvertently hinders his plan to kill her.
            "
Chinatown ; Drama;130 min;"
                    A private detective hired to expose an adulterer finds himself caught up in a web of deceit; corruption; and murder.
            "
Inside Out ; Animation;95 min;"
                    After young Riley is uprooted from her Midwest life and moved to San Francisco; her emotions - Joy; Fear; Anger; Disgust and Sadness - conflict on how best to navigate a new city; house; and school.
            "
My Father and My Son ; Drama;113 min;"
                    The family of a left-wing journalist is torn apart after a military coup in 1980's Turkey.
            "
The Gold Rush ; See all certifications;95 min;"
                    A prospector goes to the Klondike in search of gold and finds it and more.
            "
Judgment at Nuremberg ; Drama;179 min;"
                    In 1948; an American court in occupied Germany tries four Nazis judged for war crimes.
            "
"Three Billboards Outside Ebbing; Missouri ";MPAA;115 min;"
                    A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
            "
"Lock; Stock and Two Smoking Barrels "; Comedy;107 min;"
                    A botched card game in London triggers four friends; thugs; weed-growers; hard gangsters; loan sharks and debt collectors to collide with each other in a series of unexpected events; all for the sake of weed; cash and two antique shotguns.
            "
The Wolf of Wall Street ; Biography;180 min;"
                    Based on the true story of "
The Treasure of the Sierra Madre ; Adventure;126 min;"
                    Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
            "
Raging Bull ; See all certifications;129 min;"
                    The life of boxer "
The Secret in Their Eyes ; Drama;129 min;"
                    A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
            "
Casino ; Crime;178 min;"
                    A tale of greed; deception; money; power; and murder occur between two best friends: a mafia enforcer and a casino executive; compete against each other over a gambling empire; and over a fast living and fast loving socialite.
            "
Come and See ; See all certifications;142 min;"
                    After finding an old rifle; a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.
            "
Pan's Labyrinth ; Drama;118 min;"
                    In the Falangist Spain of 1944; the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.
            "
All About Eve ; Drama;138 min;"
                    An ingénue insinuates herself into the lives of an established but aging stage actress and her circle of theater friends.
            "
A Beautiful Mind ; Biography;135 min;"
                    After "
Ran ; See all certifications;162 min;"
                    In Medieval Japan; an elderly warlord retires; handing over his empire to his three sons. However; he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.
            "
My Neighbor Totoro ; See all certifications;86 min;"
                    When two girls move to the country to be near their ailing mother; they have adventures with the wondrous forest spirits who live nearby.
            "
Howl's Moving Castle ;MPAA;119 min;"
                    When an unconfident young woman is cursed with an old body by a spiteful witch; her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged; walking castle.
            "
The Great Escape ; Adventure;172 min;"
                    Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
            "
Some Like It Hot ; Comedy;121 min;"
                    When two male musicians witness a mob hit; they flee the state in an all-female band disguised as women; but further complications set in.
            "
Children of Heaven ; Drama;89 min;"
                    After a boy loses his sister's pair of shoes; he goes on a series of adventures in order to find them. When he can't; he tries a new way to ""win"" a new pair.
            "
Unforgiven ; Drama;130 min;"
                    Retired Old West gunslinger William Munny (Clint Eastwood) reluctantly takes on one last job; with the help of his old partner Ned Logan (Morgan Freeman) and a young man; The ""Schofield Kid"" (Jaimz Woolvett).
            "
Green Book ; Biography;130 min;"
                    A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.
            "
Yojimbo ; Action;110 min;"
                    A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
            "
Batman Begins ; Action;140 min;"
                    After training with his mentor; Batman begins his fight to free crime-ridden Gotham City from corruption.
            "
Die Hard ; Action;132 min;"
                    An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
            "
Downfall ; Biography;156 min;"
                    Traudl Junge; the final secretary for Adolf Hitler; tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.
            "
Rashomon ; Crime;88 min;"
                    The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit; the bride; the samurai's ghost and a woodcutter.
            "
Heat ; Crime;170 min;"
                    A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
            "
Monty Python and the Holy Grail ; Adventure;91 min;"
                    King Arthur and his Knights of the Round Table embark on a surreal; low-budget search for the Holy Grail; encountering many; very silly obstacles.
            "
L.A. Confidential ; Crime;138 min;"
                    As corruption grows in 1950s Los Angeles; three policemen -- one strait-laced; one brutal; and one sleazy -- investigate a series of murders with their own brand of justice.
            "
The Apartment ; Comedy;125 min;"
                    A man tries to rise in his company by letting its executives use his apartment for trysts; but complications and a romance of his own ensue.
            "
Incendies ; Drama;131 min;"
                    Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
            "
Indiana Jones and the Last Crusade ; Action;127 min;"
                    In 1938; after his father Professor Henry Jones; Sr. goes missing while pursuing the Holy Grail; Professor Henry ""Indiana"" Jones; Jr. finds himself up against "
Capernaum ; Drama;126 min;"
                    While serving a five-year sentence for a violent crime; a 12-year-old boy sues his parents for neglect.
            "
To Kill a Mockingbird ; Crime;129 min;"
                    Atticus Finch; a lawyer in the Depression-era South; defends a black man against an undeserved rape charge; and his children against prejudice.
            "
A Separation ; Drama;123 min;"
                    A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
            "
For a Few Dollars More ; Western;132 min;"
                    Two bounty hunters with the same intentions team up to track down a Western outlaw.
            "
Double Indemnity ; Crime;107 min;"
                    An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.
            "
Up ; Animation;96 min;"
                    78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons; inadvertently taking a young stowaway.
            "
The Sting ; Comedy;129 min;"
                    Two grifters team up to pull off the ultimate con.
            "
Metropolis ; Drama;153 min;"
                    In a futuristic city sharply divided between the working class and the city planners; the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.
            "
Ikiru ; Drama;143 min;"
                    A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.
            "
Lawrence of Arabia ; Adventure;187 min;"
                    The story of "
Scarface ; Crime;170 min;"
                    In 1980 Miami; a determined Cuban immigrant takes over a drug cartel and succumbs to greed.
            "
Taxi Driver ; Crime;114 min;"
                    A mentally unstable veteran works as a nighttime taxi driver in New York City; where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.
            "
Singin' in the Rain ; Comedy;103 min;"
                    A silent film production company and cast make a difficult transition to sound.
            "
Bicycle Thieves ; Drama;89 min;"
                    In post-war Italy; a working-class man's bicycle is stolen. He and his son set out to find it.
            "
The Kid ; Comedy;68 min;"
                    The Tramp cares for an abandoned child; but events put that relationship in jeopardy.
            "
Amélie ; Comedy;122 min;"
                    Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and; along the way; discovers love.
            "
Toy Story 3 ; Animation;103 min;"
                    The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college; and it's up to Woody to convince the other toys that they weren't abandoned and to return home.
            "
Full Metal Jacket ; Drama;116 min;"
                    A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
            "
North by Northwest ; Adventure;136 min;"
                    A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.
            "
Snatch ; Comedy;104 min;"
                    Unscrupulous boxing promoters; violent bookmakers; a Russian gangster; incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.
            "
The Hunt ; Drama;115 min;"
                    A teacher lives a lonely life; all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son; but his new luck is about to be brutally shattered by an innocent little lie.
            "
A Clockwork Orange ; Crime;136 min;"
                    In the future; a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment; but it doesn't go as planned.
            "
Eternal Sunshine of the Spotless Mind ; Drama;108 min;"
                    When their relationship turns sour; a couple undergoes a medical procedure to have each other erased from their memories.
            "
Vertigo ; Mystery;128 min;"
                    A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.
            "
Dangal ; Action;161 min;"
                    Former wrestler "
2001: A Space Odyssey ; Adventure;149 min;"
                    After discovering a mysterious artifact buried beneath the Lunar surface; mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.
            "
Requiem for a Dream ; Drama;102 min;"
                    The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
            "
Citizen Kane ; Drama;119 min;"
                    Following the death of publishing tycoon; Charles Foster Kane; reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.
            "
M ; Crime;117 min;"
                    When the police in a German city are unable to catch a child-murderer; other criminals join in the manhunt.
            "
Good Will Hunting ; Drama;126 min;"
                    Will Hunting; a janitor at M.I.T.; has a gift for mathematics; but needs help from a psychologist to find direction in his life.
            "
Reservoir Dogs ; Crime;99 min;"
                    When a simple jewelry heist goes horribly wrong; the surviving criminals begin to suspect that one of them is a police informant.
            "
Toy Story ; Animation;81 min;"
                    A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
            "
3 Idiots ; Comedy;170 min;"
                    Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently; even as the rest of the world called them ""idiots"".
            "
Star Wars: Episode VI - Return of the Jedi ; Action;131 min;"
                    After a daring mission to rescue Han Solo from Jabba the Hutt; the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile; Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.
            "
Inglourious Basterds ; Adventure;153 min;"
                    In Nazi-occupied France during World War II; a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.
            "
Like Stars on Earth ; Drama;165 min;"
                    An eight-year-old boy is thought to be a lazy trouble-maker; until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.
            "
Das Boot ; Adventure;149 min;"
                    The claustrophobic world of a WWII German U-boat; boredom; filth and sheer terror.
            "
Amadeus ; Biography;160 min;"
                    The life; success and troubles of Wolfgang Amadeus Mozart; as told by Antonio Salieri; the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.
            "
Braveheart ; Biography;178 min;"
                    When his secret bride is executed for assaulting an English soldier who tried to rape her; William Wallace begins a revolt against King Edward I of England.
            "
American Beauty ; Drama;122 min;"
                    A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
            "
Once Upon a Time in America ; Crime;229 min;"
                    A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later; where he once again must confront the ghosts and regrets of his old life.
            "
